Zone;Produit;Origine;Disponibilité alimentaire (Kcal/personne/jour);Disponibilité alimentaire en quantité (kg/personne/an);Disponibilité de matière grasse en quantité (g/personne/jour);Disponibilité de protéines en quantité (g/personne/jour);Disponibilité intérieure;Aliments pour animaux;Autres Utilisations;Exportations - Quantité;Importations - Quantité;Nourriture;Pertes;Production;Semences;Traitement;Variation de stock
Suisse;Pamplemousse;vegetale;1;2.65;0;0.02;22;;;0;22;21;0;;;;0
Suisse;Perciform;animale;6;2.76;0.29;0.74;22;0;0;0;22;22;;;;;1
Suède;Ananas;vegetale;4;2.2;0.01;0.02;22;;;1;22;21;1;;;;
Suède;Pamplemousse;vegetale;1;2.24;0;0.01;22;;;0;22;21;0;;;;
Sénégal;Bière;vegetale;2;1.58;;0.02;22;;;0;8;22;;15;;;
Tchad;Oignons;vegetale;2;1.54;0;0.05;22;;;0;0;20;2;22;;;
Tchéquie (la);Perciform;animale;3;2.06;0.14;0.42;22;;0;8;30;22;;;;;
Tchéquie (la);Pois;vegetale;11;1.12;0.06;0.69;22;1;;11;2;12;2;31;8;;0
Tunisie;Épices, Autres;vegetale;17;1.82;0.75;0.72;22;;;2;7;20;2;17;;;0
Uruguay;Huil Plantes Oleif Autr;vegetale;47;1.99;5.3;0.04;22;;16;0;24;7;;2;;0;-3
Venezuela (République bolivarienne du);Sucre, betterave;vegetale;1;0.71;0;0.03;22;;;;;22;;22;;;
Viet Nam;Huil Plantes Oleif Autr;vegetale;5;0.2;0.52;0;22;;4;0;22;18;;;;;
Yémen;Épices, Autres;vegetale;8;0.89;0.28;0.26;22;;;0;22;22;;;;;0
Zimbabwe;Abats Comestible;animale;5;1.54;0.14;0.75;22;;;0;0;22;;22;;;
Zimbabwe;Pommes;vegetale;2;1.48;0.01;0.01;22;;;0;15;21;1;7;;0;
Éthiopie;Poissons Eau Douce;animale;0;0.23;0.02;0.07;22;;0;2;0;22;;24;;;0
Afghanistan;Sésame;vegetale;9;0.52;0.77;0.27;21;;;11;;16;1;32;1;4;0
Arabie saoudite;Huile de Sésame;vegetale;18;0.73;2;;21;;;0;1;21;;20;;;
Arabie saoudite;Poissons Marins, Autres;animale;1;0.72;0.04;0.2;21;0;0;1;20;21;;1;;;
Argentine;Haricots;vegetale;2;0.22;0.01;0.13;21;;;104;1;9;2;96;10;;28
Arménie;Céréales, Autres;vegetale;14;1.96;0.04;0.39;21;1;12;0;4;6;1;17;1;;0
Australie;Huile de Coco;vegetale;9;0.45;1.02;0.01;21;;11;5;26;10;;0;;;0
Azerbaïdjan;Riz (Eq Blanchi);vegetale;21;2.04;0.06;0.41;21;;1;0;18;19;1;3;0;;
Bangladesh;Graisses Animales Crue;animale;3;0.13;0.34;0.01;21;;1;0;1;21;;21;;;
Barbade;Soja;vegetale;0;0.1;;0.05;21;;;0;21;0;;;;21;
Botswana;Orge;vegetale;10;1.79;;0.17;21;0;3;0;21;4;;;;14;0
Burkina Faso;Orge;vegetale;0;0;;;21;;;0;21;0;;;;21;0
Bélarus;Feve de Cacao;vegetale;32;2.29;2.93;0.39;21;;;7;28;21;;;;;0
Bélarus;Graines de tournesol;vegetale;;;;;21;19;;0;12;;0;9;;2;0
Bénin;Coco (Incl Coprah);vegetale;1;0.38;0.14;0.01;21;;;0;2;4;2;19;;15;
Cambodge;Abats Comestible;animale;4;1.37;0.1;0.69;21;;;0;0;21;;21;;;
Canada;Plantes Oleiferes, Autre;vegetale;1;0.05;0.06;0.03;21;;41;707;74;2;22;754;15;30;-100
Chine - RAS de Hong-Kong;Poissons Pelagiques;animale;6;2.57;0.3;0.79;21;3;0;3;18;19;;6;;;0
Chine - RAS de Macao;Lait - Excl Beurre;animale;80;37.46;3.37;3.37;21;;0;0;21;21;;;;;0
Chine - RAS de Macao;Viande de Volailles;animale;145;36.26;10.33;12.04;21;;0;0;17;21;;4;;;
Chypre;Tomates;vegetale;11;17.22;0.12;0.53;21;;0;3;11;20;1;13;;0;
Colombie;Beurre, Ghee;animale;8;0.43;0.95;0.01;21;;;0;0;21;;21;;;
Costa Rica;Pamplemousse;vegetale;2;4.17;0.01;0.03;21;;1;0;1;20;;20;;;0
Danemark;Beurre, Ghee;animale;35;1.78;3.95;0.04;21;;11;38;17;10;;43;;;-1
Fédération de Russie;Dattes;vegetale;1;0.15;0;0.01;21;;;0;21;21;;;;;
Guatemala;Manioc;vegetale;3;1.16;0.01;0.02;21;;1;0;1;18;2;20;;;0
Guinée;Viande de Volailles;animale;6;1.83;0.37;0.65;21;;;0;13;21;;9;;;
Israël;Graines de coton;vegetale;0;0;0;0;21;0;0;1;1;0;;17;1;20;4
Kenya;Viande de Volailles;animale;2;0.47;0.1;0.16;21;;;0;0;21;;21;;;
Kirghizistan;Boissons Alcooliques;vegetale;31;3.87;;;21;;;0;5;21;;17;;;
Lesotho;Viande de Volailles;animale;34;10.24;2.16;3.45;21;;;;17;21;;4;;;
Lettonie;Poissons Pelagiques;animale;26;10.02;1.14;3.63;21;1;0;153;46;21;;105;;;24
Luxembourg;Edulcorants Autres;vegetale;167;38.5;;;21;;0;2;29;20;;;;;-6
Madagascar;Huile de Soja;vegetale;23;0.93;2.56;;21;;;0;21;21;;;;;0
Malte;Poissons Pelagiques;animale;38;15.54;1.99;4.6;21;14;0;7;24;7;;3;;;1
Maurice;Pommes;vegetale;12;17.06;0.05;0.04;21;;0;0;21;21;0;;;;
Mongolie;Pommes;vegetale;7;7.34;0.04;0.02;21;;;0;21;21;;;;;
Mozambique;Thé;vegetale;1;0.8;;0.22;21;;;3;0;21;;23;;;0
Nicaragua;Viande de Suides;animale;12;3.38;0.82;0.98;21;;;0;13;21;;8;;;0
Nigéria;Crustacés;animale;0;0.12;0;0.03;21;;0;9;2;21;;29;;;
Népal;Graisses Animales Crue;animale;16;0.72;1.73;0.04;21;;1;0;9;20;;12;;;0
Népal;Pois;vegetale;7;0.76;0.04;0.47;21;;;0;21;21;;;;;
Oman;Edulcorants Autres;vegetale;19;4.22;;;21;;6;1;22;15;;;;;0
Ouganda;Huil Plantes Oleif Autr;vegetale;12;0.5;1.37;0;21;;2;2;6;19;;17;;;0
Ouganda;Soja;vegetale;0;0.01;0.01;0.01;21;;;2;0;1;0;23;3;18;
Panama;Sucre non centrifugé;vegetale;31;5.41;;0.01;21;;;0;19;21;0;2;;;0
Pays-Bas;Coco (Incl Coprah);vegetale;6;1.27;0.59;0.06;21;;;81;102;21;;;;0;0
Royaume-Uni;Agrumes, Autres;vegetale;0;0.33;0;0;21;;;2;24;21;;;;;0
République dominicaine;Abats Comestible;animale;6;2.05;0.15;1.03;21;;;0;0;21;;21;;;
République populaire démocratique de Corée;Avoine;vegetale;2;0.47;0.03;0.09;21;3;;;;12;1;21;5;;
Serbie;Huile de Palme;vegetale;0;0;0;0;21;;22;4;24;0;;;;;
Slovénie;Oeufs;animale;36;9.36;2.51;2.74;21;;;1;3;19;;19;2;;
Sri Lanka;Pommes;vegetale;1;0.97;0.01;0;21;;;1;22;21;;;;;
Suisse;Crustacés;animale;3;2.64;0.03;0.57;21;;0;0;21;21;;;;;
Suisse;Soja;vegetale;4;0.44;0.19;0.43;21;;;0;17;4;;4;;17;0
Suède;Feve de Cacao;vegetale;10;2.24;0.75;0.46;21;;;36;57;21;;;;0;0
Tadjikistan;Viande de Volailles;animale;9;2.6;0.55;0.87;21;;;;20;21;;1;;;
Tchéquie (la);Noix;vegetale;15;1.9;1.35;0.37;21;;0;11;24;20;0;7;;;1
Turkménistan;Viande de Volailles;animale;13;3.81;0.8;1.29;21;;;;1;20;1;20;;;
Viet Nam;Beurre, Ghee;animale;4;0.22;0.51;0.01;21;;;;21;21;;;;;
Zambie;Oranges, Mandarines;vegetale;1;1.33;0.01;0.01;21;;;2;19;19;1;4;;;0
Égypte;Graisses Animales Crue;animale;6;0.24;0.62;0.01;21;;1;1;3;20;;18;;;0
Égypte;Huile Graines de Coton;vegetale;6;0.26;0.71;0.01;21;;;1;2;21;;20;;;0
Émirats arabes unis;Abats Comestible;animale;6;2.1;0.24;0.94;21;;1;0;6;20;;15;;;
Albanie;Bananes;vegetale;10;6.24;0.05;0.12;20;;;0;20;20;;;;0;
Algérie;Beurre, Ghee;animale;11;0.5;1.2;0.01;20;;;0;15;20;;5;;;0
Algérie;Huile d'Arachide;vegetale;12;0.5;1.37;;20;;;0;0;20;;20;;;0
Algérie;Piments;vegetale;4;0.48;0.12;0.18;20;;;0;5;19;1;15;;;0
Angola;Poissons Eau Douce;animale;2;0.92;0.06;0.27;20;;0;0;0;20;;19;;;
Autriche;Pois;vegetale;4;0.45;0.02;0.23;20;14;;2;4;4;1;18;1;;
Azerbaïdjan;Plantes Oleiferes, Autre;vegetale;;;;;20;12;0;0;0;;;20;;8;
Bahamas;Viande de Suides;animale;175;32.74;14.8;9.11;20;;8;0;19;12;;0;;;1
Belize;Blé;vegetale;435;54.06;3.61;11.63;20;;2;0;20;18;0;;;;0
Bosnie-Herzégovine;Soja;vegetale;14;1.48;0.73;1.54;20;;;0;20;6;1;8;0;14;-8
Cabo Verde;Tomates;vegetale;21;36.83;0.21;1.02;20;;;0;3;18;2;17;;;
Chili;Beurre, Ghee;animale;24;1.24;2.76;0.03;20;;;4;3;22;;22;;;
Congo;Tomates;vegetale;3;4.34;0.03;0.13;20;;;0;16;19;0;4;;;
Croatie;Huile de Soja;vegetale;89;3.7;10.11;0.02;20;;4;2;6;16;;16;;0;0
El Salvador;Boissons Alcooliques;vegetale;25;3.09;;;20;;;1;6;20;;15;;;0
El Salvador;Huile de Soja;vegetale;77;3.21;8.68;0.03;20;;;5;26;20;;;;;0
El Salvador;Poissons Pelagiques;animale;7;3.13;0.33;1.05;20;0;0;36;21;20;;35;;;0
El Salvador;Viande de Suides;animale;16;3.23;1.36;0.81;20;;;3;16;20;;8;;;
Espagne;Huile de Coco;vegetale;6;0.38;0.69;0.01;20;;2;14;34;18;;0;;;0
Estonie;Vin;vegetale;30;15.59;;0;20;;;4;24;20;;;;;
Finlande;Huile de Palme;vegetale;0;0;0;0;20;;20;4;24;0;;;;0;
Fédération de Russie;Agrumes, Autres;vegetale;0;0.14;0;0;20;;;0;21;20;;;;;
Indonésie;Alcool, non Comestible;vegetale;;;;;20;;20;68;0;;;88;;;
Irlande;Huil Plantes Oleif Autr;vegetale;0;0;0;0;20;;20;0;20;0;;0;;0;0
Irlande;Plantes Aquatiques;animale;0;0;0;0;20;;20;24;15;0;;30;;;
Italie;Coco (Incl Coprah);vegetale;1;0.3;0.12;0.01;20;;;1;21;18;0;;;2;0
Jamaïque;Ananas;vegetale;6;7.01;0.02;0.04;20;;;0;1;20;1;19;;;
Jordanie;Dattes;vegetale;11;2.6;0.03;0.11;20;;;4;12;19;1;12;;;
Jordanie;Poissons Marins, Autres;animale;4;2.7;0.14;0.67;20;;0;3;23;20;;0;;;
Jordanie;Sorgho;vegetale;;;;;20;19;;0;2;;1;18;0;;
Kenya;Huile de Germe de Maïs;vegetale;11;0.45;1.22;;20;;;0;6;20;;14;;;
Kiribati;Poissons Pelagiques;animale;125;52.04;5.64;17.19;20;0;15;42;1;5;;60;;;
Koweït;Raisin;vegetale;9;5.63;0.05;0.09;20;;;0;21;19;1;0;;;
Liban;Poissons Pelagiques;animale;7;2.88;0.39;0.85;20;6;0;1;18;14;;2;;;
Libéria;Bière;vegetale;5;4.62;;0.06;20;;;0;4;20;;16;;;
Malaisie;Alcool, non Comestible;vegetale;;;;;20;;20;0;12;;;9;;;
Malte;Tomates;vegetale;24;38.35;0.26;1.15;20;;2;0;7;16;1;12;;0;
Maroc;Poissons Eau Douce;animale;1;0.6;0.04;0.17;20;;0;1;4;20;;16;;;
Maroc;Sorgho;vegetale;0;0;0;0;20;4;12;0;0;0;1;5;0;;15
Maurice;Huile de Soja;vegetale;301;12.44;34.09;;20;;5;1;20;15;;;;;2
Maurice;Tomates;vegetale;8;14.79;0.08;0.38;20;;0;0;9;18;1;11;;;
Namibie;Légumineuses Autres;vegetale;73;7.72;0.64;5;20;;;0;2;18;1;19;2;;0
Ouganda;Alcool, non Comestible;vegetale;;;;;20;;20;1;22;;;;;;
Ouzbékistan;Huile de Palme;vegetale;;;;;20;;20;;20;;;;;;
Paraguay;Vin;vegetale;6;2.98;;0;20;;;0;19;20;;1;;;
Philippines;Huile de Soja;vegetale;5;0.21;0.57;0;20;;;0;16;20;;5;;;0
Pologne;Huile de Coco;vegetale;11;0.47;1.27;0.01;20;;2;6;25;18;;0;;;0
Portugal;Crustacés;animale;4;1.92;0.04;0.89;20;;0;12;31;20;;2;;;0
Pérou;Sorgho;vegetale;;;;;20;19;;0;20;;0;0;0;;
République de Corée;Huile de Son de Riz;vegetale;10;0.42;1.14;;20;;;0;10;20;;10;;;
République dominicaine;Citrons & Limes;vegetale;1;1.65;0.05;0.01;20;;;5;;17;2;24;;;
Slovaquie;Soja;vegetale;0;0.02;0;0.01;20;;;37;18;0;1;40;;19;
Soudan;Boissons Alcooliques;vegetale;4;0.53;;;20;;;0;0;20;;20;;;
Sri Lanka;Orge;vegetale;0;0;0;0;20;0;;0;20;0;;;;20;0
Tadjikistan;Oeufs;animale;6;1.71;0.46;0.5;20;;6;;1;14;;19;0;;
Tchad;Boissons Fermentés;vegetale;1;1.56;;0.02;20;;;;0;20;;20;;;
Tchad;Dattes;vegetale;7;1.41;0.02;0.07;20;;;0;0;18;2;20;;;
Thaïlande;Piments;vegetale;23;2.92;0.99;0.94;206;;;3;54;196;10;156;;;
Timor-Leste;Viande, Autre;animale;60;17.48;2.87;7.85;20;;;;;20;;20;;;
Togo;Racines nda;vegetale;6;2.5;0.01;0.1;20;;;3;0;17;3;23;;;0
Tunisie;Bananes;vegetale;3;1.68;0;0.05;20;;;1;21;19;1;;;;
Ukraine;Huil Plantes Oleif Autr;vegetale;9;0.44;1.03;0;20;;0;3;14;20;;9;;0;0
Émirats arabes unis;Manioc;vegetale;3;1.47;0.01;0.03;20;;7;1;21;14;;;;;
Émirats arabes unis;Pamplemousse;vegetale;1;2.09;0;0.02;20;;;2;21;20;;;;;0
Équateur;Huile de Tournesol;vegetale;31;1.29;3.54;;20;;;0;21;20;;;;;
États-Unis d'Amérique;Crème;animale;0;0.06;0.03;0;20;;;10;6;20;;23;;;
Afrique du Sud;Beurre, Ghee;animale;7;0.35;0.78;0.01;19;;;5;3;19;;20;;;0
Albanie;Orge;vegetale;1;0.16;0;0.03;19;7;1;0;14;1;1;7;0;9;-2
Algérie;Pois;vegetale;4;0.46;0.01;0.28;19;;;0;8;18;0;11;0;;0
Arabie saoudite;Huile d'Olive;vegetale;16;0.67;1.83;;19;;0;0;20;19;;;;;0
Argentine;Graines Colza/Moutarde;vegetale;0;0;;;19;;;129;1;0;;112;0;19;35
Arménie;Bière;vegetale;9;6.46;;0.09;19;;;4;3;19;;20;;;
Bahamas;Viande de Bovins;animale;77;19.92;4.22;9.11;19;;11;0;19;8;;0;;;0
Belize;Pamplemousse;vegetale;35;56.49;0.16;0.48;19;;;7;0;19;;25;;;0
Belize;Sorgho;vegetale;45;4.8;0.44;1.33;19;18;;0;0;2;;20;0;;
Bosnie-Herzégovine;Haricots;vegetale;45;4.78;0.22;2.89;19;;;0;7;18;1;13;0;;
Bulgarie;Poissons Eau Douce;animale;4;2.6;0.16;0.69;19;;0;3;11;19;;10;;;
Bélarus;Boissons Fermentés;vegetale;3;2.05;;0.01;19;;;3;2;19;;20;;;
Bénin;Bananes;vegetale;3;1.75;0;0.05;19;;;0;1;18;1;18;;;
Cambodge;Arachides Decortiquees;vegetale;15;1.03;1.28;0.66;19;;;0;0;16;0;19;1;2;
Chili;Mollusques, Autres;animale;1;1.06;0.01;0.09;19;;0;271;2;19;;288;;;0
Chine - RAS de Hong-Kong;Avoine;vegetale;14;2.53;0.18;0.51;19;0;;3;22;18;0;;;;
Chine - RAS de Hong-Kong;Edulcorants Autres;vegetale;26;2.56;0.14;0.04;19;;0;3;21;18;0;1;;;0
Chine - RAS de Hong-Kong;Pamplemousse;vegetale;2;2.55;0.01;0.03;19;;1;7;25;18;;;;;0
Congo;Viande de Bovins;animale;18;4.35;1.13;1.82;19;;;0;13;19;;7;;;
Dominique;Racines nda;vegetale;139;54.68;0.34;2.32;19;9;0;0;0;4;3;19;3;0;
Eswatini;Bière;vegetale;18;15.07;;0.21;19;;0;0;5;19;;14;;;
Eswatini;Pommes de Terre;vegetale;23;12.43;0.03;0.49;19;;0;4;15;16;1;8;2;;0
Eswatini;Viande de Bovins;animale;79;15.1;5.67;6.53;19;;;1;2;19;;17;;;
Fidji;Viande de Volailles;animale;71;20.26;4.59;6.82;19;;1;0;1;18;;18;;;
Grèce;Plantes Oleiferes, Autre;vegetale;0;0.01;0.01;0.01;19;4;0;6;17;0;;5;0;14;2
Guatemala;Agrumes, Autres;vegetale;0;0.52;0;0;19;;;88;36;8;11;71;;;0
Guinée;Abats Comestible;animale;5;1.58;0.13;0.77;19;;;;3;19;;16;;;
Guinée;Viande d'Ovins/Caprins;animale;6;1.6;0.36;0.62;19;;;;0;19;;19;;;
Guinée-Bissau;Blé;vegetale;81;11.33;0.58;2.39;19;;;0;19;19;;;;;0
Géorgie;Graisses Animales Crue;animale;66;3.29;7.25;0.2;19;;5;0;11;14;;8;;;
Hongrie;Plantes Oleiferes, Autre;vegetale;1;0.05;0.06;0.02;19;13;4;10;18;1;0;12;0;1;-1
Irlande;Haricots;vegetale;24;2.54;0.12;1.54;19;7;;0;3;12;0;16;0;;
Irlande;Viande d'Ovins/Caprins;animale;26;4.1;2.26;1.4;19;;;43;4;19;;57;;;
Islande;Maïs;vegetale;;;;;19;14;2;0;19;;;;;3;
Islande;Perciform;animale;29;25.81;0.72;5.34;19;3;8;574;6;9;;587;;;0
Israël;Dattes;vegetale;16;2.34;0.03;0.1;19;;;26;0;18;1;45;;;
Israël;Huile de Tournesol;vegetale;58;2.41;6.61;;19;;;0;15;19;;4;;;
Italie;Agrumes, Autres;vegetale;0;0.1;0;0;19;;13;40;17;6;;42;;;
Japon;Viande d'Ovins/Caprins;animale;1;0.14;0.08;0.05;19;;;0;18;18;0;0;;;
Jordanie;Huile d'Olive;vegetale;58;2.39;6.54;;19;;1;2;0;17;;21;;;0
Kenya;Edulcorants Autres;vegetale;4;0.43;;;19;;;3;22;19;;;;0;0
Kenya;Huil Plantes Oleif Autr;vegetale;10;0.39;1.08;;19;;2;3;6;17;;16;;0;0
Kenya;Racines nda;vegetale;1;0.38;0;0.02;19;;;0;0;17;2;19;;;0
Kenya;Sésame;vegetale;6;0.4;0.53;0.2;19;;;4;11;18;1;12;0;;0
Libéria;Boissons Alcooliques;vegetale;28;3.46;;;19;;4;0;0;15;;18;;;
Lituanie;Bananes;vegetale;10;5.85;0.05;0.11;19;;;12;31;18;;;;1;
Lituanie;Huile de Tournesol;vegetale;90;3.71;10.18;0;19;;8;23;40;11;;2;;0;0
Lituanie;Perciform;animale;11;6.33;0.28;1.85;19;;0;34;38;19;;9;;;6
Maldives;Fruits, Autres;vegetale;46;52.5;0.21;0.42;19;;1;;16;18;0;3;;;
Malte;Orge;vegetale;0;0.06;;0.01;19;16;;0;17;0;0;2;0;2;0
Mexique;Animaux Aquatiques Autre;animale;0;0.16;0;0.02;19;;0;0;;19;;19;;;
Mexique;Graines de tournesol;vegetale;0;0.04;0.03;0.01;19;;;0;15;5;;5;0;14;0
Mongolie;Fruits, Autres;vegetale;6;6.77;0.03;0.07;19;;;0;18;19;0;2;;;0
Monténégro;Oranges, Mandarines;vegetale;22;28.93;0.06;0.43;19;;;1;10;18;1;10;;;
Monténégro;Sucre Eq Brut;vegetale;213;21.28;;;19;;5;0;19;13;;;;0;
Namibie;Tomates;vegetale;5;8.46;0.05;0.22;19;;;1;12;19;;8;;;0
Nicaragua;Avoine;vegetale;10;1.74;0.17;0.42;19;8;;0;14;11;;;;;5
Nicaragua;Graisses Animales Crue;animale;20;0.98;2.25;0.03;19;2;11;1;9;6;;11;;;0
Niger;Viande de Volailles;animale;4;1.08;0.23;0.37;19;;;;2;19;;17;;;
Norvège;Feve de Cacao;vegetale;56;3.83;4.99;0.84;19;;;4;23;19;;;;0;
Pays-Bas;Bananes plantains;vegetale;2;1.11;0.01;0.02;19;;;6;24;19;;;;;0
Polynésie française;Bière;vegetale;61;51.89;;0.71;19;;5;0;1;14;;19;;;0
Portugal;Crème;animale;10;1.83;0.97;0.14;19;;;10;11;19;;19;;;
Pérou;Sucre non centrifugé;vegetale;5;0.62;;;19;;;;;19;;19;;;
République centrafricaine;Fruits, Autres;vegetale;5;3.75;0.2;0.05;19;;;0;0;17;2;19;;;0
République de Corée;Coco (Incl Coprah);vegetale;1;0.29;0.11;0.01;19;;;0;19;14;;;;5;
République de Corée;Millet;vegetale;2;0.25;0.01;0.05;19;6;;0;18;12;1;1;0;;
République démocratique populaire lao;Edulcorants Autres;vegetale;12;2.81;;;19;;;;19;19;;;;;
Samoa;Fruits, Autres;vegetale;77;86.46;1.16;0.91;19;;1;1;1;16;1;18;;0;
Slovénie;Racines nda;vegetale;5;2;0.01;0.09;19;15;;0;0;4;;19;;;
Suisse;Seigle;vegetale;9;1.28;0.03;0.23;19;7;0;0;10;10;0;10;1;;-2
Thaïlande;Sorgho;vegetale;;;;;55;53;;2;0;;2;57;0;;0
Thaïlande;Boissons Fermentés;vegetale;0;0.19;;0;13;;;2;3;13;;12;;;0
Togo;Huile de Palmistes;vegetale;66;2.74;7.5;;19;;;0;0;19;;18;;;0
Turquie;Piments;vegetale;2;0.25;0.09;0.08;19;;;1;4;19;1;16;;;
Ukraine;Feve de Cacao;vegetale;4;0.42;0.42;0.02;19;1;;93;113;19;;;;;0
Ukraine;Viande d'Ovins/Caprins;animale;2;0.41;0.19;0.16;19;;;0;0;19;;19;;;
Yémen;Huil Plantes Oleif Autr;vegetale;18;0.77;2.08;0;19;;0;1;12;19;;;;;8
Zambie;Huil Plantes Oleif Autr;vegetale;15;0.64;1.7;0.01;19;;10;2;21;9;;;;;0
Zimbabwe;Huile de Palme;vegetale;19;0.78;2.13;0;19;;8;0;12;11;;;;;7
Émirats arabes unis;Beurre, Ghee;animale;33;1.62;3.79;0.03;19;;2;6;22;15;2;2;;;
Équateur;Coco (Incl Coprah);vegetale;1;0.39;0.13;0.02;19;;;0;1;6;0;18;;12;
Afghanistan;Crème;animale;3;0.6;0.32;0.04;18;;;;18;18;;;;;
Afrique du Sud;Thé;vegetale;0;0.35;;0.1;18;;;8;26;18;;1;;;0
Algérie;Huile de Colza&Moutarde;vegetale;11;0.46;1.2;0.01;18;;0;0;3;18;;15;;;0
Allemagne;Cephalopodes;animale;0;0.22;0.01;0.09;18;;0;5;23;18;;0;;;
Arabie saoudite;Avoine;vegetale;4;0.62;0.07;0.16;18;;;0;18;18;;;;;
Argentine;Noix;vegetale;3;0.44;0.31;0.08;18;;;4;9;18;0;13;;;0
Barbade;Sucre Eq Brut;vegetale;538;55.72;;;18;;2;15;13;16;1;17;;;3
Bolivie (État plurinational de);Viande d'Ovins/Caprins;animale;9;1.72;0.7;0.7;18;;;;;18;;18;;;
Bolivie (État plurinational de);Viande, Autre;animale;6;1.68;0.31;0.69;18;;;0;0;18;;18;;;0
Botswana;Huile de Tournesol;vegetale;210;8.67;23.75;;18;;;0;17;18;;0;;;0
Brunéi Darussalam;Blé;vegetale;444;42.94;2.06;10.51;18;;;1;22;18;;;;;-3
Brésil;Miel;vegetale;1;0.09;;0;18;;;16;0;18;;34;;;
Burkina Faso;Poissons Eau Douce;animale;2;1.04;0.07;0.31;18;;0;3;0;18;;21;;;
Cabo Verde;Fruits, Autres;vegetale;31;33.9;0.2;0.33;18;;;0;8;17;1;10;;;
Chine - RAS de Hong-Kong;Citrons & Limes;vegetale;1;2.36;0.01;0.04;18;;1;8;25;17;;;;;
Chine - RAS de Hong-Kong;Oignons;vegetale;2;2.14;0.01;0.09;18;;0;0;18;15;2;;;;
Chypre;Vin;vegetale;30;15.7;;;18;;;1;7;18;;11;;0;0
Cuba;Café;vegetale;2;1.59;;0.29;18;;;1;10;18;1;9;;;0
Danemark;Pois;vegetale;7;0.71;0.03;0.44;18;12;0;6;12;4;1;15;1;;-3
Dominique;Bananes;vegetale;71;41.67;0.11;0.91;18;1;4;2;;3;10;20;;;0
Estonie;Oeufs;animale;48;12.66;3.37;3.68;18;;0;4;10;16;;11;1;;
Estonie;Pommes;vegetale;22;13.82;0.11;0.05;18;;;1;15;18;;4;;0;0
Eswatini;Légumes, Autres;vegetale;12;13.64;0.09;0.59;18;;;1;11;17;1;8;;;0
Grèce;Aliments pour enfants;vegetale;16;1.63;0.13;0.68;18;;;1;20;18;;;;;
Grèce;Huile Graines de Coton;vegetale;11;0.45;1.24;0;18;;13;2;1;5;;20;;;0
Grèce;Huile de Colza&Moutarde;vegetale;;;;;18;;18;0;7;;;12;;;0
Guatemala;Feve de Cacao;vegetale;5;1.16;0.42;0.24;18;;;3;7;18;;13;;;0
Guinée;Poissons Eau Douce;animale;3;1.51;0.1;0.45;18;;0;1;0;18;;18;;;
Guinée-Bissau;Millet;vegetale;69;7.63;0.75;1.65;18;1;;;0;13;1;18;0;2;0
Guyana;Racines nda;vegetale;33;13.73;0.08;0.48;18;3;0;1;0;11;4;18;;;
Haïti;Café;vegetale;2;1.65;;0.3;18;;;0;0;17;1;18;;;0
Honduras;Huile de Palmistes;vegetale;;;;;18;;18;27;2;;;43;;;
Hongrie;Huil Plantes Oleif Autr;vegetale;3;0.11;0.3;0;18;;17;6;23;1;;1;;0;0
Indonésie;Millet;vegetale;1;0.07;0.01;0.02;18;;;0;18;18;;;;;
Indonésie;Piments;vegetale;1;0.07;0.02;0.02;18;;;1;20;18;1;0;;;
Iran (République islamique d');Plantes Oleiferes, Autre;vegetale;0;0.01;0.01;0;18;14;;1;16;1;0;2;0;2;0
Iran (République islamique d');Viande, Autre;animale;1;0.23;0.04;0.11;18;;;0;0;18;;18;;;
Iraq;Huile de Germe de Maïs;vegetale;13;0.53;1.44;;18;;;;18;18;;;;;0
Irlande;Huile de Coco;vegetale;48;2.02;5.38;0.04;18;;8;0;18;9;;0;;0;0
Irlande;Riz (Eq Blanchi);vegetale;30;3;0.06;0.58;18;4;0;0;18;14;;;;;0
Irlande;Soja;vegetale;1;0.25;0.01;0.11;18;12;;1;19;1;;;;4;0
Japon;Huile de Tournesol;vegetale;3;0.14;0.38;;18;;;0;16;18;0;1;;;
Kazakhstan;Café;vegetale;1;1.08;;0.05;18;;;2;20;18;;;;;
Koweït;Huil Plantes Oleif Autr;vegetale;23;0.95;2.54;0.01;18;;17;3;21;3;0;;;;0
Lettonie;Boissons Alcooliques;vegetale;72;8.97;;;18;;;83;38;18;;63;;;0
Liban;Huile d'Olive;vegetale;77;3.18;8.72;;18;;3;7;5;15;;19;;;1
Malaisie;Citrons & Limes;vegetale;0;0.58;0.02;0.01;18;;;4;12;17;1;9;;;
Malaisie;Dattes;vegetale;3;0.6;0.01;0.03;18;;;2;19;18;;;;;
Malaisie;Poivre;vegetale;5;0.6;0.04;0.18;18;;;12;4;18;;27;;;0
Maldives;Légumes, Autres;vegetale;48;52.67;0.31;2.14;18;;0;;16;18;0;3;;;
Mali;Bière;vegetale;1;1.19;;0.02;18;;;0;5;18;;13;;;
Mali;Poissons Marins, Autres;animale;2;1.2;0.07;0.34;18;;0;1;19;18;;;;;
Maroc;Crustacés;animale;1;0.54;0.01;0.24;18;;0;24;33;18;;9;;;0
Mexique;Agrumes, Autres;vegetale;0;0.15;0;0;18;;;159;9;18;;151;;;17
Nigéria;Beurre, Ghee;animale;2;0.1;0.23;0;18;;;0;5;18;;13;;;
Nouvelle-Calédonie;Coco (Incl Coprah);vegetale;72;23.54;5.94;0.71;18;;11;0;0;6;;19;;1;-1
